BatchStart
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|
|NGC 1801|05 00.5|-69 38|       |            |                  |            |OC         |
|NGC 1898|05 16.7|-69 36| 11.0  |p           |                  |            |Gb         |
|IC 4887 |19 48.3|-69 35|       |            |                  |            |U          |
|NGC 2187|06 03.9|-69 34|       |            |                  |            |Gx         |
|NGC 2150|05 55.9|-69 34|       |            |                  |            |Gx         |
|NGC 1809|05 02.0|-69 34|       |            |                  |            |Gx         |
|NGC 1772|04 56.7|-69 34|       |            |                  |            |C+N        |
|IC 5301 |23 18.8|-69 34|       |            |                  |            |U          |
|NGC 1913|05 18.4|-69 33|       |            |                  |            |OC         |
|NGC 1793|04 59.4|-69 33|       |            |                  |            |OC         |
|NGC 2442|07 36.4|-69 32| 11.0  |p           |                  |  6.0       |Gx         |
|NGC 2443|07 36.3|-69 32|       |            |                  |            |-          |
|NGC 2136|05 52.8|-69 30| 10.0  |p           |                  |            |OC         |
|NGC 1926|05 20.5|-69 30|       |            |                  |            |OC         |
|NGC 2137|05 53.2|-69 29|       |            |                  |            |OC         |
|NGC 2125|05 50.7|-69 29|       |            |                  |            |OC         |
|NGC 2102|05 42.2|-69 29|       |            |                  |            |OC         |
|NGC 2074|05 38.9|-69 29|       |            |                  |            |C+N        |
|NGC 1928|05 20.8|-69 29|       |            |                  |            |OC         |
|NGC 1922|05 19.7|-69 29|       |            |                  |            |OC         |
|NGC 2088|05 40.8|-69 28|       |            |                  |            |OC         |
|NGC 1712|04 51.3|-69 28|       |            |                  |            |C+N        |
|IC 4934 |20 07.2|-69 28|       |            |                  |            |U          |
|NGC 1894|05 15.7|-69 27|       |            |                  |            |OC         |
|NGC 2091|05 40.9|-69 26|       |            |                  |            |OC         |
|NGC 2081|05 40.1|-69 24|       |            |                  |            |C+N        |
|NGC 2055|05 37.0|-69 24|       |            |                  |            |C+N        |
|NGC 1835|05 05.2|-69 24|  9.8  |            |                  |  1.2       |Gb         |
|NGC 1767|04 56.3|-69 24|       |            |                  |            |C+N        |
|NGC 1722|04 52.2|-69 24|       |            |                  |            |C+N        |
|IC 2111 |04 51.9|-69 24|       |            |                  |            |Nb         |
|NGC 1695|04 47.6|-69 24|       |            |                  |            |OC         |
|NGC 6183|16 41.6|-69 23|       |            |                  |            |Gx         |
|NGC 1880|05 13.6|-69 23|       |            |                  |            |C+N        |
|NGC 1874|05 13.2|-69 23|       |            |                  |            |C+N        |
|NGC 1876|05 13.2|-69 23|       |            |                  |            |C+N        |
|NGC 1877|05 13.2|-69 23|       |            |                  |            |C+N        |
|NGC 1828|05 04.1|-69 23|       |            |                  |            |OC         |
|NGC 1782|04 57.6|-69 23|       |            |                  |            |C+N        |
|IC 4988 |20 21.8|-69 23|       |            |                  |            |U          |
|NGC 2127|05 51.1|-69 22|       |            |                  |            |OC         |
|NGC 2050|05 36.5|-69 22|       |            |                  |            |C+N        |
|NGC 1916|05 17.5|-69 22|       |            |                  |            |OC         |
|IC 5173 |22 14.8|-69 22|       |            |                  |  1.6       |Gx         |
|NGC 1881|05 13.2|-69 21|       |            |                  |            |C+N        |
|NGC 1727|04 52.2|-69 21|       |            |                  |            |C+N        |
|NGC 1693|04 47.5|-69 21|       |            |                  |            |OC         |
|NGC 2836|09 13.7|-69 20|       |            |                  |            |Gx         |
|NGC 1872|05 13.0|-69 20|       |            |                  |            |C+N        |
|NGC 1830|05 04.5|-69 20|       |            |                  |            |OC         |
|NGC 1903|05 17.2|-69 18| 12.0  |p           |                  |            |OC         |
|NGC 2434|07 34.9|-69 17| 11.2  |            |                  |  2.5       |Gx         |
|NGC 1756|04 54.6|-69 15|       |            |                  |            |OC         |
|NGC 2100|05 42.0|-69 14|  9.6  |            |                  |  2.0       |OC         |
|NGC 2092|05 41.5|-69 13|       |            |                  |            |OC         |
|NGC 2015|05 31.9|-69 13|       |            |                  |            |C+N        |
|NGC 1910|05 18.1|-69 13|       |            |                  |  1.0       |OC         |
|NGC 1834|05 05.3|-69 13|       |            |                  |            |TS         |
|IC 5279 |23 03.0|-69 13|       |            |                  |  1.8       |Gx         |
|NGC 2108|05 43.8|-69 12|       |            |                  |            |Gb         |
|IC 2114 |04 54.6|-69 12|       |            |                  |            |U          |
|NGC 1748|04 54.4|-69 12|       |            |                  |            |C+N        |
|NGC 1737|04 54.3|-69 12|       |            |                  |            |C+N        |
|NGC 1745|04 54.3|-69 12|       |            |                  |            |C+N        |
|NGC 1743|04 54.0|-69 12|       |            |                  |            |C+N        |
|IC 2105 |04 49.4|-69 12|       |            |                  |            |Nb         |
|IC 5052 |20 52.1|-69 12| 12.0  |p           |                  |  5.8       |Gx         |
|NGC 2157|05 57.3|-69 11| 10.0  |p           |                  |            |OC         |
|NGC 2044|05 35.9|-69 11|       |            |                  |            |C+N        |
|NGC 2060|05 37.6|-69 10|       |            |                  |            |C+N        |
|NGC 1698|04 49.4|-69 10|       |            |                  |            |Nb         |
|NGC 2118|05 47.2|-69 09|       |            |                  |            |OC         |
|NGC 2009|05 30.8|-69 09|       |            |                  |            |OC         |
|NGC 2210|06 11.5|-69 08| 10.2  |            |                  |  1.7       |Gb         |
|NGC 1870|05 13.0|-69 08|       |            |                  |            |OC         |
|NGC 1856|05 09.4|-69 08| 10.0  |p           |                  |            |OC         |
|NGC 1994|05 28.2|-69 07|       |            |                  |            |OC         |
|NGC 1984|05 27.5|-69 06|       |            |                  |            |C+N        |
|IC 2504 |09 38.6|-69 05|       |            |                  |            |U          |
|NGC 2070|05 38.6|-69 05|  8.2  |            |                  | 40.0       |C+N        |
|NGC 2069|05 38.5|-69 05|       |            |                  |            |Nb         |
|NGC 1804|05 00.9|-69 05|       |            |                  |            |OC         |
|NGC 1967|05 26.5|-69 04|       |            |                  |            |OC         |
|IC 5263 |22 58.2|-69 03|       |            |                  |  1.2       |Gx         |
|NGC 2151|05 56.3|-69 01|       |            |                  |            |OC         |
|NGC 2397|07 21.3|-69 00| 13.0  |p           |                  |  2.2       |Gx         |
|NGC 1917|05 19.0|-69 00|       |            |                  |            |Gb         |
|NGC 1847|05 06.9|-68 59|       |            |                  |            |OC         |
|NGC 1885|05 15.0|-68 58|       |            |                  |            |OC         |
|NGC 2241|06 22.7|-68 57|       |            |                  |            |OC         |
|NGC 1983|05 27.5|-68 57|  8.0  |p           |                  |            |C+N        |
|IC 5138 |21 53.5|-68 57|       |            |                  |            |U          |
|NGC 6730|19 07.6|-68 55|       |            |                  |  1.5       |Gx         |
