BatchStart
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|
|IC 2360 |08 25.2|+19 27|       |            |                  |            |U          |
|IC 2305 |08 20.7|+19 27|       |            |                  |            |U          |
|NGC 6098|16 15.6|+19 27| 14.0  |p           |                  |            |Gx         |
|NGC 6099|16 15.6|+19 27| 14.0  |p           |                  |            |Gx         |
|IC 1838 |02 44.7|+19 27| 16.0  |p           |                  |  0.6       |Gx         |
|NGC 3859|11 44.9|+19 28| 15.0  |p           |                  |            |Gx         |
|NGC 4685|12 47.1|+19 28| 14.0  |p           |                  |            |Gx         |
|IC 1219 |16 24.4|+19 28| 15.0  |p           |                  |  1.4       |Gx         |
|IC 3744 |12 45.7|+19 30|       |            |                  |            |U          |
|IC 4058 |13 01.2|+19 30|       |            |                  |            |U          |
|IC 4089 |13 02.1|+19 30|       |            |                  |            |U          |
|IC 2358 |08 25.1|+19 30|       |            |                  |            |U          |
|IC 2356 |08 25.0|+19 30|       |            |                  |            |U          |
|IC 3605 |12 38.3|+19 31|       |            |                  |            |U          |
|IC 2357 |08 25.1|+19 31|       |            |                  |            |U          |
|IC 3749 |12 45.9|+19 32|       |            |                  |            |U          |
|NGC 1555|04 22.9|+19 32|       |            |                  |            |Nb         |
|NGC 1554|04 21.8|+19 32|       |            |                  |            |Nb         |
|NGC 3857|11 44.8|+19 33| 15.0  |p           |                  |            |Gx         |
|IC 2350 |08 24.5|+19 33|       |            |                  |            |U          |
|IC 2292 |08 19.4|+19 34|       |            |                  |            |U          |
|NGC 251 |00 47.8|+19 34| 14.0  |p           |                  |            |Gx         |
|IC 3932 |12 58.1|+19 35|       |            |                  |            |U          |
|IC 3985 |12 59.7|+19 35|       |            |                  |            |U          |
|NGC 5859|15 07.6|+19 35| 12.4  |            |                  |  3.0       |Gx         |
|IC 1801 |02 28.2|+19 35|       |            |                  |            |U          |
|NGC 3862|11 45.1|+19 36| 12.6  |            |                  |  1.6       |Gx         |
|IC 2955 |11 45.1|+19 36| 14.0  |p           |                  |  1.3       |Gx         |
|IC 3857 |12 53.9|+19 36|       |            |                  |            |U          |
|IC 2352 |08 24.7|+19 36|       |            |                  |            |U          |
|NGC 5857|15 07.5|+19 36| 13.1  |            |                  |  1.4       |Gx         |
|NGC 6149|16 27.4|+19 36| 15.0  |p           |                  |            |Gx         |
|IC 1894 |03 10.5|+19 36| 16.0  |p           |                  |            |Gx         |
|IC 1891 |03 10.2|+19 36|       |            |                  |            |U          |
|NGC 935 |02 28.2|+19 36| 14.0  |p           |                  |            |Gx         |
|IC 3931 |12 58.0|+19 37|       |            |                  |            |U          |
|IC 2328 |08 22.3|+19 37|       |            |                  |            |U          |
|NGC 5492|14 10.5|+19 37| 14.0  |p           |                  |  1.8       |Gx         |
|IC 1893 |03 10.3|+19 37|       |            |                  |            |U          |
|IC 3978 |12 59.6|+19 38|       |            |                  |            |U          |
|IC 3984 |12 59.7|+19 38|       |            |                  |            |U          |
|IC 2388 |08 40.0|+19 38| 16.0  |p           |                  |            |Gx         |
|IC 2370 |08 26.4|+19 38|       |            |                  |            |U          |
|NGC 3213|10 21.3|+19 39| 14.0  |p           |                  |  1.2       |Gx         |
|IC 3436 |12 30.5|+19 39| 15.0  |p           |                  |  0.4       |Gx         |
|IC 3969 |12 59.5|+19 39|       |            |                  |            |U          |
|NGC 2647|08 42.6|+19 40| 15.0  |p           |                  |            |Gx         |
|IC 3884 |12 55.0|+19 41|       |            |                  |            |U          |
|IC 4047 |13 01.0|+19 41| 16.0  |p           |                  |            |Gx         |
|IC 2331 |08 22.6|+19 41|       |            |                  |            |U          |
|IC 2390 |08 41.8|+19 42| 16.0  |p           |                  |            |Gx         |
|NGC 2637|08 41.1|+19 42|       |            |                  |            |Gx         |
|NGC 2625|08 38.4|+19 42|       |            |                  |  0.4       |Gx         |
|IC 2346 |08 24.2|+19 42|       |            |                  |            |U          |
|IC 3837 |12 51.5|+19 43|       |            |                  |            |U          |
|NGC 2790|09 15.0|+19 43| 14.0  |p           |                  |            |Gx         |
|NGC 2643|08 41.7|+19 43|       |            |                  |            |Gx         |
|IC 2951 |11 43.4|+19 44| 15.0  |p           |                  |  1.4       |Gx         |
|NGC 4053|12 03.2|+19 44| 14.0  |p           |                  |            |Gx         |
|NGC 2624|08 38.1|+19 44| 14.0  |p           |                  |            |Gx         |
|IC 1156 |16 00.6|+19 44| 15.0  |p           |                  |            |Gx         |
|NGC 6527|18 01.8|+19 44| 15.0  |p           |                  |            |Gx         |
|IC 1420 |22 02.6|+19 45| 14.0  |p           |                  |  1.6       |Gx         |
|NGC 3875|11 45.8|+19 46| 15.0  |p           |                  |            |Gx         |
|IC 2364 |08 25.9|+19 46|       |            |                  |            |U          |
|IC 2316 |08 21.3|+19 46|       |            |                  |            |U          |
|NGC 3873|11 45.7|+19 47| 14.0  |p           |                  |            |Gx         |
|IC 2381 |08 28.4|+19 47|       |            |                  |            |U          |
|NGC 6062|16 06.3|+19 47| 14.0  |p           |                  |            |Gx         |
|IC 2371 |08 26.6|+19 48|       |            |                  |            |U          |
|NGC 3860|11 44.6|+19 49| 14.0  |p           |                  |            |Gx         |
|NGC 719 |01 53.7|+19 49| 14.0  |p           |                  |            |Gx         |
|IC 3830 |12 50.9|+19 50|       |            |                  |            |U          |
|NGC 6181|16 32.3|+19 50| 11.9  |            |                  |  2.6       |Gx         |
|IC 1744 |01 53.6|+19 50| 15.0  |p           |                  |  1.4       |Gx         |
|NGC 3886|11 47.1|+19 51| 14.0  |p           |                  |            |Gx         |
|IC 3715 |12 44.4|+19 51|       |            |                  |            |U          |
|IC 3905 |12 56.1|+19 51|       |            |                  |            |U          |
|NGC 3227|10 23.5|+19 52| 10.8  |            |                  |  5.6       |Gx         |
|NGC 3222|10 22.6|+19 53| 12.8  |            |                  |  1.3       |Gx         |
|IC 2372 |08 26.7|+19 53|       |            |                  |            |U          |
|IC 2368 |08 26.0|+19 53|       |            |                  |            |U          |
|IC 358  |04 03.7|+19 53| 15.0  |p           |                  |  1.4       |Gx         |
|NGC 3837|11 43.9|+19 54| 14.0  |p           |                  |            |Gx         |
|NGC 3226|10 23.4|+19 54| 11.4  |            |                  |  2.8       |Gx         |
|IC 4091 |13 02.2|+19 54|       |            |                  |            |U          |
|NGC 2813|09 17.7|+19 54| 15.0  |p           |                  |            |Gx         |
|NGC 2812|09 17.6|+19 55| 15.0  |p           |                  |            |Gx         |
|IC 2332 |08 22.7|+19 55|       |            |                  |            |U          |
|IC 3696 |12 43.2|+19 56|       |            |                  |            |U          |
|NGC 2801|09 16.7|+19 56| 15.0  |p           |                  |            |Gx         |
|NGC 3842|11 44.0|+19 57| 13.0  |p           |                  |  1.2       |Gx         |
|IC 3664 |12 41.7|+19 57|       |            |                  |            |U          |
|IC 808  |12 41.9|+19 57|       |            |                  |            |OC         |
|NGC 4635|12 42.6|+19 57| 13.0  |p           |                  |  2.0       |Gx         |
|IC 2362 |08 25.7|+19 57|       |            |                  |            |U          |
|IC 2345 |08 24.1|+19 57|       |            |                  |            |U          |
|NGC 1615|04 36.0|+19 57| 15.0  |p           |                  |  1.6       |Gx         |
|IC 4007 |13 00.1|+19 58|       |            |                  |            |U          |
|IC 4075 |13 01.8|+19 58|       |            |                  |            |U          |
|NGC 3841|11 44.0|+19 59| 15.0  |p           |                  |            |Gx         |
|NGC 3851|11 44.3|+19 59| 15.0  |p           |                  |            |Gx         |
|NGC 2632|08 40.1|+19 59|  3.1  |            |                  | 95.0       |OC         |
|NGC 6886|20 12.7|+19 59| 12.0  |p           |                  |  0.1       |Pl         |
|NGC 3845|11 44.1|+20 00| 15.0  |p           |                  |            |Gx         |
|NGC 3861|11 44.8|+20 00| 14.0  |p           |                  |            |Gx         |
|IC 4087 |13 02.0|+20 00|       |            |                  |            |U          |
|NGC 5711|14 39.4|+20 00| 15.0  |p           |                  |            |Gx         |
|IC 355  |03 53.8|+20 00|       |            |                  |            |U          |
|NGC 3919|11 50.6|+20 01| 14.0  |p           |                  |            |Gx         |
|NGC 3844|11 44.0|+20 02| 15.0  |p           |                  |            |Gx         |
|IC 3796 |12 48.5|+20 02|       |            |                  |            |U          |
|NGC 2807|09 17.0|+20 02| 15.0  |p           |                  |            |Gx         |
|IC 862  |13 16.2|+20 02| 15.0  |p           |                  |  0.3       |Gx         |
|IC 1236 |16 58.5|+20 02|       |            |                  |  1.2       |Gx         |
|NGC 7474|23 04.0|+20 02| 15.0  |p           |                  |            |Gx         |
|IC 3814 |12 49.5|+20 03|       |            |                  |            |U          |
|NGC 2806|09 17.0|+20 03| 15.0  |p           |                  |            |Gx         |
|NGC 5710|14 39.3|+20 03| 14.0  |p           |                  |            |Gx         |
|NGC 7475|23 04.1|+20 03| 15.0  |p           |                  |            |Gx         |
|NGC 3522|11 06.6|+20 04| 14.0  |p           |                  |            |Gx         |
|NGC 4032|12 00.6|+20 04| 13.0  |p           |                  |  2.1       |Gx         |
|NGC 2809|09 17.1|+20 04| 14.0  |p           |                  |            |Gx         |
|NGC 3840|11 43.9|+20 05| 14.0  |p           |                  |            |Gx         |
|IC 2457 |09 17.1|+20 05| 14.0  |p           |                  |  1.2       |Gx         |
|IC 2487 |09 30.2|+20 06|       |            |                  |  2.0       |Gx         |
|IC 3856 |12 53.8|+20 06|       |            |                  |            |U          |
|IC 4140 |13 04.1|+20 06|       |            |                  |            |U          |
|NGC 7770|23 51.4|+20 06| 15.0  |p           |                  |  1.0       |Gx         |
|NGC 3816|11 41.8|+20 07| 13.0  |p           |                  |            |Gx         |
|IC 3915 |12 56.7|+20 07|       |            |                  |            |U          |
|IC 2455 |09 16.8|+20 07|       |            |                  |            |U          |
|NGC 2026|05 43.1|+20 07|       |            |                  |            |-          |
|NGC 6905|20 22.4|+20 07| 12.0  |p           |                  |  1.7       |Pl         |
|NGC 7771|23 51.4|+20 07| 12.3  |            |                  |  2.7       |Gx         |
|NGC 4042|12 02.4|+20 09|       |            |                  |            |-          |
|NGC 7769|23 51.1|+20 09| 12.1  |            |                  |  1.8       |Gx         |
|NGC 3646|11 21.7|+20 10| 11.2  |            |                  |  3.9       |Gx         |
|NGC 1896|05 25.4|+20 10|       |            |                  |            |-          |
|NGC 4158|12 11.2|+20 11| 13.0  |p           |                  |  2.0       |Gx         |
|IC 4122 |13 03.4|+20 11| 15.0  |p           |                  |            |Gx         |
|NGC 2515|08 03.4|+20 11|       |            |                  |            |U          |
|NGC 4076|12 04.6|+20 12| 14.0  |p           |                  |            |Gx         |
|IC 3789 |12 48.1|+20 12|       |            |                  |            |U          |
|NGC 2804|09 16.8|+20 12| 14.0  |p           |                  |            |Gx         |
|NGC 6168|16 31.4|+20 12| 14.0  |p           |                  |            |Gx         |
|NGC 7409|22 53.7|+20 12| 15.0  |p           |                  |            |Gx         |
|IC 682  |11 21.2|+20 13|       |            |                  |            |U          |
|NGC 3649|11 22.2|+20 13| 15.0  |p           |                  |  1.6       |Gx         |
|NGC 4061|12 04.1|+20 13| 14.0  |p           |                  |  1.5       |Gx         |
|NGC 4065|12 04.2|+20 13| 14.0  |p           |                  |  1.5       |Gx         |
|NGC 4072|12 04.3|+20 13| 15.0  |p           |                  |            |Gx         |
|IC 4128 |13 03.7|+20 13|       |            |                  |            |U          |
|IC 2016 |04 01.9|+20 13| 16.0  |p           |                  |            |Gx         |
|IC 1305 |19 39.3|+20 13|       |            |                  |            |U          |
|IC 610  |10 26.5|+20 14|       |            |                  |  2.1       |Gx         |
|IC 611  |10 26.5|+20 14|       |            |                  |            |Gx         |
|IC 2423 |08 54.8|+20 14| 15.0  |p           |                  |  1.1       |Gx         |
|IC 2422 |08 54.4|+20 14| 16.0  |p           |                  |  0.4       |Gx         |
|IC 2369 |08 26.3|+20 14|       |            |                  |            |U          |
|IC 1246 |17 14.3|+20 14|       |            |                  |            |U          |
|NGC 7411|22 54.5|+20 14| 15.0  |p           |                  |            |Gx         |
|NGC 7516|23 12.8|+20 14| 14.0  |p           |                  |            |Gx         |
|IC 759  |12 05.2|+20 15|       |            |                  |            |U          |
|NGC 4086|12 05.5|+20 15| 15.0  |p           |                  |            |Gx         |
|IC 4147 |13 04.2|+20 15|       |            |                  |            |U          |
|NGC 7415|22 54.8|+20 15| 15.0  |p           |                  |            |Gx         |
|NGC 6802|19 30.6|+20 16|  8.8  |            |                  |  3.0       |OC         |
|IC 2997 |12 05.8|+20 17|       |            |                  |            |U          |
|IC 3761 |12 46.5|+20 17|       |            |                  |            |U          |
|NGC 938 |02 28.5|+20 17| 14.0  |p           |                  |            |Gx         |
|NGC 6321|17 14.5|+20 18| 14.0  |p           |                  |            |Gx         |
|NGC 4056|12 04.0|+20 19|       |            |                  |            |Gx         |
|NGC 4057|12 05.3|+20 19|       |            |                  |            |Gx         |
|NGC 4090|12 05.5|+20 19| 15.0  |p           |                  |            |Gx         |
|NGC 2175|06 09.8|+20 19|  6.8  |            |                  | 18.0       |OC         |
|NGC 932 |02 27.9|+20 19| 14.0  |p           |                  |  1.9       |Gx         |
|NGC 7316|22 35.9|+20 19| 14.0  |p           |                  |  1.3       |Gx         |
|NGC 3821|11 42.2|+20 20| 14.0  |p           |                  |            |Gx         |
|NGC 4069|12 04.2|+20 20|       |            |                  |            |Gx         |
|NGC 4074|12 04.6|+20 20| 15.0  |p           |                  |            |Gx         |
|NGC 2582|08 25.3|+20 20| 14.0  |p           |                  |  1.3       |Gx         |
|IC 2359 |08 25.3|+20 20| 14.0  |p           |                  |  1.1       |Gx         |
|NGC 930 |02 27.9|+20 20| 13.0  |p           |                  |            |Gx         |
|NGC 4060|12 04.1|+20 21| 15.0  |p           |                  |            |Gx         |
|NGC 3805|11 40.8|+20 22| 14.0  |p           |                  |            |Gx         |
|NGC 4066|12 04.2|+20 22| 14.0  |p           |                  |            |Gx         |
|IC 4175 |13 05.8|+20 22|       |            |                  |            |U          |
|IC 2373 |08 26.9|+20 22| 15.0  |p           |                  |  1.4       |Gx         |
|NGC 3588|11 14.0|+20 24| 15.0  |p           |                  |            |Gx         |
|IC 3929 |12 57.7|+20 24|       |            |                  |            |U          |
|IC 2159 |06 09.9|+20 24|       |            |                  |            |Nb         |
|IC 1797 |02 25.5|+20 24| 15.0  |p           |                  |  1.2       |Gx         |
|NGC 3884|11 46.2|+20 25| 14.0  |p           |                  |            |Gx         |
|IC 3839 |12 51.8|+20 25|       |            |                  |            |U          |
|IC 732  |11 46.0|+20 26| 15.0  |p           |                  |  0.4       |Gx         |
|NGC 4070|12 04.2|+20 26| 14.0  |p           |                  |            |Gx         |
|NGC 5513|14 13.2|+20 26| 14.0  |p           |                  |            |Gx         |
|IC 701  |11 30.8|+20 28|       |            |                  |  0.7       |Gx         |
|IC 4113 |13 03.1|+20 28|       |            |                  |            |U          |
|IC 2355 |08 24.9|+20 28|       |            |                  |            |U          |
|NGC 3787|11 39.7|+20 29| 14.0  |p           |                  |            |Gx         |
|NGC 3943|11 52.9|+20 30| 14.0  |p           |                  |            |Gx         |
|NGC 4092|12 05.9|+20 30| 14.0  |p           |                  |            |Gx         |
|NGC 4529|12 31.8|+20 30| 15.0  |p           |                  |            |Gx         |
|NGC 2558|08 19.4|+20 30| 14.0  |p           |                  |            |Gx         |
|NGC 2174|06 09.7|+20 30|       |            |                  | 40.0       |Nb         |
|NGC 924 |02 26.8|+20 30| 14.0  |p           |                  |            |Gx         |
|NGC 5702|14 38.8|+20 31| 14.0  |p           |                  |            |Gx         |
|IC 856  |13 10.7|+20 32|       |            |                  |            |U          |
|IC 2348 |08 24.4|+20 32| 16.0  |p           |                  |  0.6       |Gx         |
|NGC 6052|16 05.2|+20 32| 13.0  |            |                  |  1.0       |Gx         |
|IC 700  |11 29.3|+20 33| 15.0  |p           |                  |  0.8       |Gx         |
|NGC 4093|12 05.9|+20 33| 15.0  |p           |                  |            |Gx         |
|IC 4162 |13 05.1|+20 33|       |            |                  |            |U          |
|IC 4164 |13 05.2|+20 33|       |            |                  |            |OC         |
|NGC 6064|16 07.0|+20 33|       |            |                  |            |-          |
|NGC 4089|12 05.6|+20 34| 15.0  |p           |                  |            |Gx         |
|NGC 4091|12 05.7|+20 34| 15.0  |p           |                  |            |Gx         |
|NGC 4095|12 06.0|+20 35| 14.0  |p           |                  |            |Gx         |
|NGC 2341|07 09.3|+20 35| 14.0  |p           |                  |  1.1       |Gx         |
|IC 2968 |11 52.6|+20 36| 14.0  |p           |                  |  0.4       |Gx         |
|IC 868  |13 17.4|+20 36| 15.0  |p           |                  |            |Gx         |
|IC 870  |13 17.5|+20 36|       |            |                  |            |U          |
|NGC 4098|12 06.1|+20 37| 14.0  |p           |                  |            |Gx         |
|IC 1052 |14 44.2|+20 37| 15.0  |p           |                  |  1.1       |Gx         |
|IC 3899 |12 55.7|+20 38|       |            |                  |            |U          |
|NGC 2342|07 09.4|+20 38| 13.0  |p           |                  |  1.6       |Gx         |
|NGC 3937|11 52.7|+20 39| 14.0  |p           |                  |            |Gx         |
|NGC 4099|12 06.1|+20 39|       |            |                  |            |-          |
|NGC 4204|12 15.2|+20 39| 13.0  |p           |                  |  4.2       |Gx         |
|IC 867  |13 17.2|+20 39| 15.0  |p           |                  |  1.5       |Gx         |
|IC 235  |02 32.8|+20 39| 14.7  |            |                  |  0.5       |Gx         |
|IC 3655 |12 41.2|+20 40|       |            |                  |            |U          |
|IC 4138 |13 04.0|+20 40|       |            |                  |            |U          |
|IC 1021 |14 29.2|+20 40| 15.0  |p           |                  |  1.2       |Gx         |
|IC 1132 |15 40.0|+20 40| 14.0  |p           |                  |  1.1       |Gx         |
|IC 869  |13 17.5|+20 41|       |            |                  |            |U          |
|NGC 722 |01 54.8|+20 41| 14.0  |p           |                  |            |Gx         |
|NGC 7815|00 03.4|+20 41|       |            |                  |            |-          |
|NGC 3650|11 22.6|+20 42| 15.0  |p           |                  |  1.9       |Gx         |
|NGC 3883|11 46.8|+20 42| 14.0  |p           |                  |            |Gx         |
|IC 864  |13 17.2|+20 42| 16.0  |p           |                  |  1.1       |Gx         |
|IC 866  |13 17.2|+20 42| 16.0  |p           |                  |  1.1       |Gx         |
|IC 163  |01 49.3|+20 42| 14.0  |p           |                  |  1.8       |Gx         |
|IC 956  |13 54.7|+20 43| 16.0  |p           |                  |            |Gx         |
|NGC 3947|11 53.4|+20 45| 14.0  |p           |                  |  1.6       |Gx         |
|IC 2998 |12 05.9|+20 45|       |            |                  |            |U          |
|NGC 6027|15 59.2|+20 45| 12.4  |            |                  |  2.2       |Gx         |
|NGC 6442|17 46.9|+20 45| 14.0  |p           |                  |            |Gx         |
|IC 1299 |19 22.6|+20 45|       |            |                  |            |OC         |
|NGC 7817|00 04.0|+20 45| 12.0  |p           |                  |  3.7       |Gx         |
|NGC 7798|23 59.4|+20 45| 13.0  |p           |                  |  1.5       |Gx         |
|IC 4163 |13 05.1|+20 46|       |            |                  |            |U          |
|NGC 6460|17 49.6|+20 46| 14.0  |p           |                  |            |Gx         |
|IC 3759 |12 46.3|+20 47|       |            |                  |            |U          |
|IC 3858 |12 53.9|+20 47|       |            |                  |            |U          |
|NGC 3697|11 28.7|+20 48| 14.0  |p           |                  |            |Gx         |
|IC 742  |11 51.0|+20 48| 15.0  |p           |                  |  1.3       |Gx         |
|IC 3740 |12 45.5|+20 49| 16.0  |p           |                  |            |Gx         |
|NGC 6458|17 49.2|+20 49| 15.0  |p           |                  |            |Gx         |
|IC 5300 |23 16.6|+20 49| 16.0  |p           |                  |            |Gx         |
|IC 3689 |12 42.6|+20 51|       |            |                  |            |U          |
|NGC 5518|14 13.9|+20 51| 15.0  |p           |                  |            |Gx         |
|NGC 6452|17 48.0|+20 51| 15.0  |p           |                  |            |Gx         |
|IC 5299 |23 16.3|+20 51|       |            |                  |            |U          |
|IC 3682 |12 42.3|+20 52|       |            |                  |            |U          |
|IC 3683 |12 42.3|+20 52|       |            |                  |            |U          |
|NGC 2569|08 21.5|+20 52| 15.0  |p           |                  |            |Gx         |
|IC 3677 |12 42.2|+20 53|       |            |                  |            |U          |
|IC 3678 |12 42.2|+20 53|       |            |                  |            |U          |
|NGC 3954|11 53.7|+20 54| 14.0  |p           |                  |            |Gx         |
|NGC 2553|08 17.7|+20 54| 15.0  |p           |                  |            |Gx         |
|NGC 6035|16 03.4|+20 54| 14.0  |p           |                  |  1.2       |Gx         |
|NGC 2570|08 21.5|+20 55| 15.0  |p           |                  |            |Gx         |
|NGC 2556|08 19.2|+20 55| 15.0  |p           |                  |            |Gx         |
|NGC 2392|07 29.2|+20 55| 10.0  |p           |                  |  0.7       |Pl         |
|NGC 5910|15 19.3|+20 55| 15.0  |p           |                  |            |Gx         |
|IC 2453 |09 15.8|+20 56| 15.0  |p           |                  |            |Gx         |
|NGC 1655|04 46.2|+20 56|       |            |                  |            |U          |
|IC 3728 |12 45.1|+20 58|       |            |                  |            |U          |
|IC 3821 |12 50.0|+20 58|       |            |                  |            |U          |
|NGC 6032|16 03.0|+20 58| 15.0  |p           |                  |  1.8       |Gx         |
|NGC 3948|11 53.4|+20 59| 15.0  |p           |                  |  0.5       |Gx         |
|NGC 2560|08 19.9|+20 59| 15.0  |p           |                  |  1.7       |Gx         |
|NGC 976 |02 34.0|+20 59| 12.4  |            |                  |  1.7       |Gx         |
|IC 3692 |12 42.9|+21 00| 15.0  |p           |                  |  1.0       |Gx         |
|NGC 3929|11 51.7|+21 01| 14.0  |p           |                  |            |Gx         |
|NGC 3940|11 52.7|+21 01| 14.0  |p           |                  |            |Gx         |
|IC 851  |13 08.5|+21 02| 15.0  |p           |                  |  1.0       |Gx         |
|NGC 6591|18 14.0|+21 02|       |            |                  |            |Gx         |
|NGC 3946|11 53.4|+21 03| 15.0  |p           |                  |            |Gx         |
|NGC 4055|12 03.7|+21 04|       |            |                  |            |-          |
|NGC 2563|08 20.6|+21 04| 12.3  |            |                  |  2.3       |Gx         |
|NGC 5842|15 04.8|+21 04| 15.0  |p           |                  |            |Gx         |
|IC 2061 |04 24.0|+21 05|       |            |                  |            |U          |
|NGC 6586|18 13.7|+21 05| 14.0  |p           |                  |            |Gx         |
|IC 5336 |23 36.3|+21 05|       |            |                  |            |U          |
|NGC 7375|22 46.6|+21 05| 15.0  |p           |                  |            |Gx         |
|IC 3649 |12 40.8|+21 06|       |            |                  |            |U          |
|IC 3660 |12 41.6|+21 06|       |            |                  |            |U          |
|IC 1282 |18 14.1|+21 06|       |            |                  |            |?          |
|NGC 992 |02 37.2|+21 06| 13.0  |p           |                  |            |Gx         |
|NGC 6873|20 08.3|+21 06|       |            |                  |            |DS         |
|NGC 3177|10 16.6|+21 07| 12.3  |            |                  |  1.7       |Gx         |
|IC 5254 |22 46.0|+21 07|       |            |                  |            |U          |
|IC 3673 |12 42.1|+21 08|       |            |                  |            |U          |
|IC 4170 |13 05.6|+21 08|       |            |                  |            |U          |
|NGC 2562|08 20.4|+21 08| 12.9  |            |                  |  1.4       |Gx         |
|NGC 6008|15 52.9|+21 08| 14.0  |p           |                  |            |Gx         |
|IC 5331 |23 33.5|+21 08| 15.0  |p           |                  |  1.1       |Gx         |
|IC 5337 |23 36.4|+21 09|       |            |                  |  0.9       |Gx         |
|IC 5338 |23 36.5|+21 09| 13.8  |            |                  |  1.1       |Gx         |
|IC 5317 |23 23.4|+21 09| 15.0  |p           |                  |            |Gx         |
|IC 3730 |12 45.1|+21 11| 14.6  |            |                  |  0.4       |Gx         |
|NGC 6827|19 48.9|+21 13|       |            |                  |            |OC         |
|IC 5316 |23 21.9|+21 13|       |            |                  |            |U          |
|NGC 4084|12 05.3|+21 14| 15.0  |p           |                  |            |Gx         |
|NGC 1988|05 37.5|+21 14|       |            |                  |            |SS         |
|NGC 6571|18 10.9|+21 14| 15.0  |p           |                  |            |Gx         |
|IC 5104 |21 21.5|+21 14| 14.0  |p           |                  |  1.8       |Gx         |
|IC 5329 |23 33.3|+21 14| 16.0  |p           |                  |  1.8       |Gx         |
|NGC 4059|12 03.9|+21 19|       |            |                  |            |-          |
|IC 885  |13 22.6|+21 19| 15.0  |p           |                  |  0.8       |Gx         |
|IC 2338 |08 23.6|+21 20|       |            |                  |  0.6       |Gx         |
|IC 2339 |08 23.6|+21 20|       |            |                  |  1.2       |Gx         |
|NGC 2545|08 14.2|+21 21| 12.4  |            |                  |  2.2       |Gx         |
|IC 707  |11 33.6|+21 22| 14.0  |p           |                  |  0.6       |Gx         |
|NGC 3910|11 50.0|+21 22| 14.0  |p           |                  |            |Gx         |
|IC 2472 |09 26.5|+21 23| 15.0  |p           |                  |            |Gx         |
|IC 2293 |08 19.6|+21 23| 15.0  |p           |                  |  0.8       |Gx         |
|NGC 7688|23 31.2|+21 24| 15.0  |p           |                  |            |Gx         |
|IC 3848 |12 52.7|+21 25|       |            |                  |            |U          |
|IC 2253 |08 16.5|+21 25| 15.0  |p           |                  |            |Gx         |
|NGC 6576|18 11.8|+21 25| 15.0  |p           |                  |            |Gx         |
|IC 2341 |08 23.7|+21 26|       |            |                  |  1.6       |Gx         |
|NGC 6579|18 12.3|+21 26|       |            |                  |            |U          |
|NGC 6580|18 12.4|+21 26|       |            |                  |            |U          |
|NGC 606 |01 34.9|+21 26| 14.0  |p           |                  |            |Gx         |
|NGC 575 |01 30.8|+21 26| 14.0  |p           |                  |            |Gx         |
|IC 1710 |01 30.8|+21 26|       |            |                  |            |U          |
|NGC 2764|09 08.3|+21 27| 12.7  |            |                  |  1.7       |Gx         |
|NGC 2557|08 19.2|+21 27| 15.0  |p           |                  |  1.4       |Gx         |
|IC 3811 |12 49.4|+21 28|       |            |                  |            |U          |
|NGC 5975|15 40.0|+21 28| 14.0  |p           |                  |            |Gx         |
|NGC 6577|18 12.1|+21 28| 14.0  |p           |                  |            |Gx         |
|NGC 2598|08 30.0|+21 29| 13.7  |            |                  |  1.3       |Gx         |
|NGC 2595|08 27.7|+21 29| 14.0  |p           |                  |  3.1       |Gx         |
|IC 2187 |07 22.7|+21 29|       |            |                  |            |U          |
|IC 1552 |00 29.6|+21 29| 15.0  |p           |                  |  1.1       |Gx         |
|NGC 2903|09 32.2|+21 30|  8.9  |            |                  | 12.6       |Gx         |
|IC 4181 |13 06.1|+21 30|       |            |                  |            |U          |
|IC 4183 |13 06.2|+21 30|       |            |                  |            |U          |
|NGC 2597|08 30.0|+21 30| 15.0  |p           |                  |  1.4       |Gx         |
|IC 2188 |07 22.7|+21 30|       |            |                  |            |U          |
|NGC 6060|16 05.9|+21 30| 14.0  |p           |                  |  2.2       |Gx         |
|NGC 2905|09 32.2|+21 31| 10.0  |p           |                  | 13.3       |Gx         |
|IC 3736 |12 45.3|+21 31| 16.0  |p           |                  |  0.5       |Gx         |
|IC 1596 |00 54.7|+21 31| 15.0  |p           |                  |  2.5       |Gx         |
|IC 2186 |07 22.7|+21 32|       |            |                  |            |U          |
|NGC 6186|16 34.4|+21 33| 14.0  |p           |                  |  1.8       |Gx         |
|NGC 3221|10 22.3|+21 34| 14.0  |p           |                  |  3.3       |Gx         |
|NGC 2420|07 38.5|+21 34|  8.3  |            |                  | 10.0       |OC         |
|IC 1269 |17 52.1|+21 34|       |            |                  |  1.9       |Gx         |
|NGC 7786|23 55.4|+21 35| 14.0  |p           |                  |            |Gx         |
|NGC 3758|11 36.4|+21 36| 15.0  |p           |                  |            |Gx         |
|NGC 6748|19 03.8|+21 36|       |            |                  |            |-          |
|NGC 15  |00 09.1|+21 36| 15.0  |p           |                  |            |Gx         |
|NGC 7321|22 36.4|+21 38| 14.0  |p           |                  |            |Gx         |
|NGC 3287|10 34.8|+21 39| 13.0  |p           |                  |  2.2       |Gx         |
|NGC 3185|10 17.6|+21 41| 12.2  |            |                  |  2.3       |Gx         |
|IC 3657 |12 41.3|+21 41|       |            |                  |            |U          |
